lat,lng,ionity
36.5059,-4.71182,0
41.4488,1.98883,0
38.0679,-3.87756,0
43.3587,-4.04859,0
43.0722,-4.08585,0
43.3988,-3.48605,0
43.3965,-3.39853,0
43.5401,-5.86213,0
42.033,-6.75174,0
39.147,-2.05511,0
40.2269,0.201146,0
42.5271,-5.74975,0
39.2523,-0.472566,0
39.5285,-1.4298,0
42.2594,-3.69923,0
42.445,-5.38114,0
37.3431,-5.96863,0
38.8186,-6.37147,0
39.8002,-3.47935,0
41.7662,-5.30045,0
39.9206,-5.8335,0
42.303,-1.98054,0
37.5273,-3.63676,0
37.2544,-3.48259,0
36.7571,-2.91833,0
42.1117,-4.48072,0
40.6084,-3.97368,0
40.5136,-3.31715,0
39.7337,-5.72164,0
36.6506,-6.08563,0
36.5067,-4.72325,0
39.9368,-3.44256,0
38.4582,-6.35211,0
42.5787,-8.06402,0
39.2088,-0.414205,0
36.2351,-5.57894,0
40.8232,-4.51234,0
37.7466,-4.84737,0
39.518,-1.76032,0
42.0086,-6.24804,0
39.8951,-5.30492,0
40.0383,-4.40928,0
39.7592,-3.87028,0
42.0266,-4.32832,0
40.9003,-3.60711,0
41.271,-4.88539,0
38.9133,-0.68782,0
37.1928,-4.02413,0
42.6356,-8.13019,0
37.5936,-2.42797,0
40.1444,-3.21425,0
42.3104,-5.92636,0
39.0325,-1.88628,0
41.803,-1.26221,0
40.9573,-2.67307,0
37.3059,-1.80342,0
36.9505,-2.1799,0
43.1791,-7.75794,0
41.5412,0.642232,0
43.3181,-7.68789,0
41.98,-5.61455,0
38.6749,-0.891399,0
43.3586,-4.04179,0
41.4898,0.337885,0
40.1967,-0.916529,0
40.6243,-1.30112,0
37.1052,-3.67334,0
40.8138,0.706241,0
43.1824,-5.81129,1
41.6434,0.931306,1
42.5261,-3.3332,1
41.5942,-3.69681,1
38.8246,-3.39686,1
40.4584,-3.61609,1
37.5757,-1.80083,1
42.9649,-7.45761,1
41.3126,-2.00133,1
41.8989,2.77052,1
42.7324,-1.61873,1
41.3116,-2.00274,1
37.3341,-6.78942,1
40.7697,-6.28672,1
42.5295,-3.33187,1
42.9658,-7.45455,1
38.934,-6.34305,1
41.4205,2.00216,1
36.8983,-4.42988,1
